Comment if error,Asin,UPC,ASIN Name,Brand Name,BU,loaddate
Fresh,B01JLUHMIM,8.53311E+11,"KeVita Organic Sparkling Probiotic Tonic, Meyer Lemon, 15.2 oz",Kevita,Beverages,4/29/20
Fresh,B00CHUGV9K,8.53311E+11,"Kevita, Organic Sparkling Probiotic Drink, Mango Coconut, 15.2 oz",Kevita,Beverages,4/29/20
Fresh,B06XDC74LZ,48500256763,"Dole Pineapple Orange Banana 100% Juice, 59 oz",Dole,Beverages,4/29/20
Fresh,B076639JWW,8259201073,"Naked Juice Mighty Mango, 46 oz",Naked Juice,Beverages,4/29/20
Fresh,B076639KKN,8259201072,"Naked Juice Green Machine, 46 oz",Naked Juice,Beverages,4/29/20
Fresh,B07662XS82,8259201071,"Naked Juice Blue Machine, 46 oz",Naked Juice,Beverages,4/29/20
Fresh,B07665DKQ7,82592010742,"Naked Juice Strawberry Banana, 46 oz",Naked Juice,Beverages,4/29/20
Fresh,B01CCKCA8A,7.73821E+11,"Naked Juice 100% Pure Organic Coconut Water, 16.9 oz",Naked Juice,Beverages,4/29/20
Fresh,B07DWDDCNW,4850020291,"Trop50 Orange Juice, 52oz",Trop 50,Beverages,4/29/20
Fresh,B07FGL16XV,48500202920,"Trop50 Orange Juice Some Pulp Homestyle, 52oz",Trop 50,Beverages,4/29/20
Fresh,B07DWGMNSR,4850020293,"Trop50 Orange Juice No Pulp with Calcium and Vitamin D, 52oz",Trop 50,Beverages,4/29/20
Fresh,B06XDCWWJ7,48500250129,Dole Orange Peach Mango 100 Juice 59 oz,Dole,Beverages,4/29/20
Fresh,B07ZK6BBWQ,82592011343,NAKED JUICE Nj Plant Protein 15.2oz 8cs Peach Mango 15.2 Fl Oz,Naked Juice,Beverages,4/29/20
Fresh,B08437QVGC,8.36094E+11,Kevita KeVita 40oz 6cs MBK Pineapple Punch 40 Fl oz,Kevita,Beverages,4/29/20
Fresh,B083FKKF79,8.36094E+11,Kevita Sparkling Probiotic Drink Lemon Ginger 40 Fl oz Bottle,Kevita,Beverages,4/29/20
Fresh,B083FKRPZK,8.36094E+11,Kevita Sparkling Probiotic Drink Mojita Lime Mint Coconut 40 Fl oz Bottle,Kevita,Beverages,4/29/20
Fresh,B07ZK5W737,82592011336,NAKED JUICE Nj Plant Protein 15.2oz 8cs Blueberry Banana 15.2 Fl Oz,Naked Juice,Beverages,4/29/20
Fresh,B00BIWSCUO,5200012126,"Gatorade Energy Drink, All-Star Strawberry, 72 oz",Gatorade,Beverages,6/1/20
Fresh,B019QF6760,52000328684,Gatorade G Series Thirst Quencher Lemon-Lime,Gatorade,Beverages,6/1/20
Fresh,B01K7N3740,52000102406,"Gatorade Series 02 Perform Thirst Quencher, Tropical Cooler, 8 ct",Gatorade,Beverages,6/1/20
Fresh,B01KXWJN2A,52000131666,"Gatorade G Series Perform Lime Cucumber Sports Drink, 32 oz",Gatorade,Beverages,6/1/20
Fresh,B06XRJNR6R,52000013078,"Gatorade Organic Strawberry, 16.9 oz",Gatorade,Beverages,6/1/20
Fresh,B07GHPDMGJ,5200010424,"Gatorade Fierce Thirst Quencher Variety Pack, 18 Count",Gatorade,Beverages,6/1/20
Fresh,B07Y6RPF24,52000044201,BOLT24 Tropical Mango 16.9 oz Single Bottle,Gatorade,Beverages,6/1/20
Fresh,B07Y6SZZ2J,52000044225,BOLT24 Watermelon Strawberry Single 16.9 oz Bottle,Gatorade,Beverages,6/1/20
Fresh,B07ZK5TVMB,52000044294,"Gatorade G Zero 12oz 12Pk Grape, 144 Fl Oz",Gatorade,Beverages,6/1/20
Fresh,B07ZK62KV8,52000042290,"Gatorade G Zero 32oz Fruit Punch 12cs, 32 Fl Oz",Gatorade,Beverages,6/1/20
Fresh,B07ZK637NG,52000044270,"Gatorade G Zero 20oz 3/8 Pk Grape, 160 Fl Oz",Gatorade,Beverages,6/1/20
Fresh,B07ZK69DQB,52000044843,BOLT24 G Bolt 24 16.9oz Energized Strawberry Lemon Single Bottle,Gatorade,Beverages,6/1/20
Fresh,B07ZK6HB46,5200004326,"Gatorade G Zero 32oz Grape 12cs, 32 Fl Oz",Gatorade,Beverages,6/1/20
Fresh,B01E5B3UWE,8259263408,"Naked Juice Cold Pressed Non-GMO Juice, Bold Beet, 12 oz",Naked Juice,Beverages,6/1/20
Fresh,B0040PXCS8,4.92714E+11,"Aquafina Water, 12 ct",Aquafina,Beverages,6/1/20
Fresh,B00CP776Y4,78000013368,"Crush CRUSH ORANGE SODA REGULAR CALORIES PLASTIC BOTTLE 1 ct 67.6 oz, 67.6 Fl oz",Crush,Beverages,6/1/20
Fresh,B07L6W4D3W,52000043693,Gatorade G Zero 3 Flavor Variety Pack 12 Ounce 18 Count,Gatorade,Gatorade,4/30/20
Fresh,B07L6DDCM7,1200018164,"Pure Leaf Sweetened Iced Tea, 16.9 Fluid Ounce (Pack of 6)",Pure Leaf,PBC,4/30/20
Fresh,B07L64TH4T,1200018164,"Pure Leaf Extra sweet Iced Tea, 16.9 Fluid Ounce (Pack of 6)",Pure Leaf,PBC,4/30/20
Fresh,B07SDHDRC7,52000042313,"Gatorade Zero Lemon Lime, 28 Oz Bottle, 28 Fl Oz",Gatorade,Gatorade,4/30/20
Fresh,B07V393DSS,52000043143,"Gatorade Thirst Quencher Bottle, Zero Berry, 28 Fl. Oz.",Gatorade,Gatorade,4/30/20
Fresh,B07SCFBVS2,52000042344,"Gatorade Glacier Cherry, 28 Oz Bottle, 28 Fl Oz",Gatorade,Gatorade,4/30/20
Fresh,B07SB9XY32,52000042320,"Gatorade Zero Orange, 28 Oz Bottle, 28 Fl Oz",Gatorade,Gatorade,4/30/20
Fresh,B07V49BQGN,52000043280,"Gatorade Zero Glacier Freeze, 28 Oz Bottle, 28 Fl Oz",Gatorade,Gatorade,4/30/20
Fresh,B07NSRZ61V,48500203200,Starbucks Coffee Almond Milk Caffe Latte 40 Fl Oz,Starbucks,PBC,4/30/20
Fresh,B07ZK643M3,12000184451,"Starbucks Iced Espresso Caramel Macchiato 14oz, 14 Fl Oz",Starbucks,PBC,4/30/20
Fresh,B07ZK5TZJK,12000184765,"Starbucks Frappuccino With Almondmilk Mocha 9.5oz 4Pk, 38 Fl Oz",Starbucks,PBC,4/30/20
Fresh,B07ZK5SS95,52000044263,"Gatorade G Zero 20oz 3/8 Pk Fruit Punch, 160 Fl Oz",Gatorade,Gatorade,4/30/20
Fresh,B07ZK623R2,52000044287,"Gatorade G Zero 12oz 12Pk Fruit Punch, 144 Fl oz",Gatorade,Gatorade,4/30/20
Fresh,B07ZK63D94,1200019288,"Starbucks Nitro Cold Brew, Dark Caramel, 9.6 Fl oz Can",Starbucks,PBC,4/30/20
Fresh,B07ZK647DL,12000192906,Starbucks Nitro Cold Brew Vanilla Sweet Cream 9.6 Fl oz Can,Starbucks,PBC,4/30/20
Fresh,B07ZK6C5DW,12000192869,Starbucks Nitro Cold Brew Black Unsweetened 9.6 Fl oz Can,Starbucks,PBC,4/30/20
Fresh,B003IDYD8G,78000083408,"Dr. Pepper Diet Soda Drink Bottle, 20 oz",Diet Dr Pepper,Beverages,6/1/20
Fresh,B079DDCG89,12000171734,"Diet Pepsi Bottle, 42.3 Fluid Ounce",Diet Pepsi,Beverages,6/1/20
